patterns,Supp X,Supp Y,Supp Z
(1+3+)(7+9-),0.4,0.07,0.66
(1+3+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(6+8+9+),0.5,0.05,0.67
(2+6+8+)(2+3+4+9+),0.4,0.07,0.66
(2+6+8+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(4+7+8+9+),0.5,0.05,0.67
(1+2+3+6+)(2+3+4+9+),0.4,0.08,0.66
(1+2+3+6+)(1+4+6+9+),0.4,0.06,0.66
(1+2+3+7+)(2+3+4+9+),0.4,0.07,0.66
(1+2+3+7+)(1+4+6+9+),0.4,0.06,0.66
(1+7+8+)(2+3+4+9+),0.4,0.07,0.66
(1+7+8+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(1+2+7+)(2+3+4+9+),0.4,0.11,0.67
(1+2+7+)(1+4-6+),0.4,0.08,0.66
(1+2+7+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(1+3+4+)(2+3+4+9+),0.4,0.09,0.67
(1+3+4+)(1+4-6+),0.4,0.07,0.66
(1+3+4+)(1+4+6+9+),0.4,0.05,0.66
(0+)(1+4-)(1+4-6+),0.4,0.07,0.66
(0+)(7+9-),0.4,0.06,0.66
(1+3+7+8+),0.5,0.06,0.67
