patterns,Supp X,Supp Y,Supp Z
(4+8+)(1+3+4+)(6+7+9+),0.4,0.06,0.66
(4+8+)(3+4-8+),0.4,0.05,0.66
(4+8+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(4+8+)(3+4+8+),0.4,0.06,0.66
(4+8+)(1+3+6+),0.4,0.06,0.66
(4+8+)(2+7+9+),0.5,0.06,0.67
(4+8-)(1+3+4+)(2+4-7+),0.4,0.06,0.66
(4+8-)(1+3+4+)(6+7+9+),0.4,0.05,0.66
(4+8-)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(4+8-)(2+7+9+),0.4,0.05,0.66
(6+)(3+4-8+)(6+7+9+),0.4,0.17,0.67
(6+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(6+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(6+)(3+6+)(1+3+6+),0.4,0.06,0.66
(6+)(3+4+8+),0.4,0.06,0.66
(6+)(1+4+9+),0.4,0.05,0.66
(6+)(2+7+9+),0.5,0.06,0.67
(6+)(4+7-),0.4,0.05,0.66
(1+6+9+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(1+6+9+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+6+9+)(3+4+8+),0.4,0.06,0.66
(1+6+9+)(2+4-7+),0.4,0.05,0.66
(1+6+9+)(2+7+9+),0.5,0.06,0.67
(1+9-)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(1+9-)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(1+9-)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+9-)(3+6+)(1+3+6+),0.4,0.06,0.66
(1+9-)(3+4+8+),0.4,0.06,0.66
(1+9-)(1+4+9+),0.4,0.05,0.66
(1+9-)(2+7+9+),0.5,0.06,0.67
(1+9-)(4+7-),0.4,0.05,0.66
(2+6+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(2+6+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(2+6+)(3+6+)(1+3+6+),0.4,0.06,0.66
(2+6+)(3+4+8+),0.4,0.06,0.66
(2+6+)(2+4-7+),0.4,0.06,0.66
(2+6+)(1+4+9+),0.4,0.05,0.66
(2+6+)(1+3+4+),0.5,0.05,0.67
(2+6+)(2+7+9+),0.5,0.06,0.67
(2+6+)(4+7-),0.4,0.05,0.66
(1+9+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(1+9+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(1+9+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
